krz,ort
SB,kreisfreie Stadt Saarbrücken und Landkreis Saarbrücken
SBG,Landkreis Strasburg
SBK,Landkreis Schönebeck
SC,kreisfreie Stadt Schwabach und Landkreis Schwabach
SCZ,Landkreis Schleiz
SDH,Landkreis Sondershausen
SDL,Landkreis Stendal
SDT,kreisfreie Stadt Schwedt/Oder
SE,Kreis Segeberg
SEB,Landkreis Sebnitz
SEE,Landkreis Seelow
SEF,Landkreis Scheinfeld
SEL,kreisfreie Stadt Selb
SF,Landkreis Sonthofen
SFA,Landkreis Soltau-Fallingbostel
SFB,Landkreis Senftenberg
SFT,Landkreis Staßfurt
SG,kreisfreie Stadt Solingen
SGH,Landkreis Sangerhausen
SHA,Landkreis Schwäbisch Hall
SHG,Landkreis Schaumburg
SHK,Saale-Holzland-Kreis
SHL,kreisfreie Stadt Suhl und Landkreis Suhl
SI,kreisfreie Stadt Siegen und Landkreis Siegen
SIG,Landkreis Sigmaringen
SIM,Landkreis Simmern
SK,Saalkreis
SL,Kreis Schleswig
SLE,Landkreis Schleiden
SLF,Landkreis Saalfeld
SLG,Landkreis Saulgau
SLK,Landkreis Salzland
SLN,Landkreis Schmölln
SLS,Landkreis Saarlouis
SLÜ,Landkreis Schlüchtern
SLZ,Landkreis Bad Salzungen
SM,Landkreis Schmalkalden
SMÜ,Landkreis Schwabmünchen
SN,kreisfreie Stadt Schwerin und Landkreis Schwerin
SNH,Landkreis Sinsheim
SO,Landkreis Soest
SOB,Landkreis Schrobenhausen
SOG,Landkreis Schongau
SOK,Saale-Orla-Kreis
SOL,Landkreis Soltau
SÖM,Landkreis Sömmerda
SON,Landkreis Sonneberg
SP,kreisfreie Stadt Speyer und Landkreis Speyer
SPB,Landkreis Spremberg
SPN,Landkreis Spree-Neiße
SPR,Landkreis Springe
SR,kreisfreie Stadt Straubing und Landkreis Straubing
SRB,Landkreis Strausberg
SRO,Landkreis Stadtroda
STI,Landkreis Stade
STII,Kreis Steinfurt
STA,Landkreis Starnberg
STB,Landkreis Sternberg
STD,Landkreis Stade
STE,Landkreis Staffelstein
STH,Landkreis Schaumburg-Lippe
STL,Landkreis Stollberg
STO,Landkreis Stockach
SU,Siegkreis
SUL,Landkreis Sulzbach-Rosenberg
SÜW,Landkreis Südliche Weinstraße
SW,kreisfreie Stadt Schweinfurt und Landkreis Schweinfurt
SWA,Untertaunuskreis
SY,Landkreis Grafschaft Hoya
SZ,kreisfreie Stadt Salzgitter
SZB,Landkreis Schwarzenberg
TBB,Landkreis Tauberbischofsheim
TDO,Landkreis Nordsachsen
TE,Landkreis Tecklenburg
TET,Landkreis Teterow
TF,Landkreis Teltow-Fläming
TG,Landkreis Torgau
TIR,Landkreis Tirschenreuth
TO,Landkreis Torgau-Oschatz
TÖL,Landkreis Bad Tölz
TÖN,Kreis Eiderstedt
TP,Landkreis Templin
TR,kreisfreie Stadt Trier und Landkreis Trier
TS,kreisfreie Stadt Traunstein und Landkreis Traunstein
TT,Landkreis Tettnang
TÜ,Landkreis Tübingen
TUT,Landkreis Tuttlingen
ÜB,Landkreis Überlingen
UE,Landkreis Uelzen
UEM,Landkreis Ueckermünde
UER,Landkreis Uecker-Randow
UFF,Landkreis Uffenheim
UH,Unstrut-Hainich-Kreis
UL,Stadtkreis Ulm und Landkreis Ulm
UM,Landkreis Uckermark
UN,Landkreis Unna
USI,Landkreis Usingen
V,Vogtlandkreis
VAI,Landkreis Vaihingen
VB,Vogelsbergkreis
VEC,Landkreis Vechta
VER,Landkreis Verden
VG,Landkreis Vorpommern-Greifswald ohne die Stadt Greifswald
VIB,Landkreis Vilsbiburg
VIE,kreisfreie Stadt Viersen
VIT,Landkreis Viechtach
VK,Stadt Völklingen im Landkreis Saarbrücken
VL,Landkreis Villingen
VOF,Landkreis Vilshofen
VOH,Landkreis Vohenstrauß
VR,Landkreis Vorpommern-Rügen ohne die Stadt Stralsund
VS,Landkreis Villingen-Schwenningen
W,kreisfreie Stadt Wuppertal
WA,Landkreis Waldeck
WAF,Landkreis Warendorf
WAK,Wartburgkreis
WAN,kreisfreie Stadt Wanne-Eickel
WAR,Landkreis Warburg
WAT,kreisfreie Stadt Wattenscheid
WB,Landkreis Wittenberg
WBG,kreisfreie Stadt Wolfsburg
WBS,Landkreis Worbis
WD,Landkreis Wiedenbrück
WDA,Landkreis Werdau
WE,kreisfreie Stadt Weimar und Landkreis Weimar
WEB,Oberwesterwaldkreis
WEG,Landkreis Wegscheid
WEL,Oberlahnkreis
WEM,Landkreis Wesermünde
WEN,kreisfreie Stadt Weiden i.d.OPf.
WER,Landkreis Wertingen
